Time,LMP,Energy,Congestion,Loss,hour,day_of_week,month,quarter,is_weekend,is_monday,is_summer,is_winter,is_peak_hour,is_offpeak_hour,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lmp_lag_24h,lmp_lag_48h,lmp_lag_72h,lmp_lag_168h,congestion_lag_24h,congestion_lag_168h,spike_lag_24h,lmp_roll_24h_mean,lmp_roll_48h_mean,lmp_roll_7d_mean,lmp_roll_24h_std,lmp_roll_7d_std,lmp_roll_24h_max,lmp_roll_24h_min,lmp_vs_7d_avg,is_holiday,is_day_before_holiday
2021-01-08 23:00:00-05:00,23.5,24.41,0.0,-0.91,23,4,1,1,0,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,22.71,22.73,26.6,19.84,0.0,0.0,0,26.81041666666667,29.158749999999998,24.650714285714283,4.364688822183422,5.352997209737677,34.82,20.58,0.9212714786589784,0,0
2021-01-09 00:00:00-05:00,23.69,23.96,0.0,-0.27,0,5,1,1,1,0,0,1,0,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,22.6,21.6,29.32,19.31,0.0,0.0,0,26.852083333333336,29.01875,24.673214285714288,4.317301873973449,5.3362604728448355,34.82,20.58,0.9159730766447131,0,0
2021-01-09 01:00:00-05:00,23.45,23.58,0.0,-0.13,1,5,1,1,1,0,0,1,0,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,21.82,20.88,29.01,18.93,0.0,0.0,0,26.89125,28.868958333333335,24.690595238095234,4.2647109209336325,5.322080285539263,34.82,20.58,0.883737301170197,0,0
2021-01-09 02:00:00-05:00,23.39,23.62,0.0,-0.23,2,5,1,1,1,0,0,1,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,21.76,20.58,28.91,18.45,0.0,0.0,0,26.940416666666664,28.72,24.708630952380954,4.195019281882083,5.306872160365402,34.82,20.76,0.8806639284036569,0,0
2021-01-09 03:00:00-05:00,23.65,23.66,0.0,-0.01,3,5,1,1,1,0,0,1,0,1,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,21.82,20.76,28.22,18.51,0.0,0.0,0,26.984583333333333,28.586666666666662,24.725297619047616,4.132230663167697,5.293278974898459,34.82,21.02,0.8824969606509625,0,0
2021-01-09 04:00:00-05:00,23.78,23.8,0.0,-0.02,4,5,1,1,1,0,0,1,0,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,22.19,21.02,28.37,18.54,0.0,0.0,0,27.03333333333333,28.457916666666666,24.743630952380954,4.065161279935177,5.279028492730472,34.82,21.19,0.8967964339067533,0,0
2021-01-09 05:00:00-05:00,23.67,23.91,0.0,-0.24,5,5,1,1,1,0,0,1,0,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,23.79,21.19,30.53,18.33,0.0,0.0,0,27.14166666666667,28.3175,24.775833333333335,3.9352384234345337,5.256429814162608,34.82,21.76,0.9602098819414079,0,0
2021-01-09 06:00:00-05:00,23.81,24.65,0.01,-0.85,6,5,1,1,1,0,0,1,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,28.19,24.89,38.41,19.05,0.03,0.0,0,27.27916666666667,28.104583333333334,24.822440476190476,3.9107187337486833,5.2517525443279265,34.82,21.76,1.1356659320843037,0,0
2021-01-09 07:00:00-05:00,27.56,28.61,0.03,-1.08,7,5,1,1,1,0,0,1,0,0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,39.03,31.08,47.47,19.88,0.05,0.0,0,27.610416666666666,27.928749999999997,24.930714285714288,4.533728170412134,5.355637532447128,39.03,21.76,1.565538778901527,0,0
2021-01-09 08:00:00-05:00,29.95,31.48,-0.26,-1.27,8,5,1,1,1,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,38.27,30.75,41.92,20.89,0.05,0.0,0,27.923750000000002,27.852708333333336,25.03452380952381,4.996395929328345,5.443969779261595,39.03,21.76,1.5286889533501355,0,0
