Time,LMP,Energy,Congestion,Loss,hour,day_of_week,month,quarter,is_weekend,is_monday,is_summer,is_winter,is_peak_hour,is_offpeak_hour,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lmp_lag_24h,lmp_lag_48h,lmp_lag_72h,lmp_lag_168h,congestion_lag_24h,congestion_lag_168h,spike_lag_24h,lmp_roll_24h_mean,lmp_roll_48h_mean,lmp_roll_7d_mean,lmp_roll_24h_std,lmp_roll_7d_std,lmp_roll_24h_max,lmp_roll_24h_min,lmp_vs_7d_avg,is_holiday,is_day_before_holiday
2023-01-08 23:00:00-05:00,26.42,26.76,0.0,-0.34,23,6,1,1,1,0,0,1,0,0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,33.33,40.39,38.08,33.47,0.0,0.2,0,39.53625,42.209583333333335,35.28327380952381,4.054516335815159,7.519222750715583,49.67,33.33,0.9446402332145103,0,0
2023-01-09 00:00:00-05:00,26.79,26.8,0.4,-0.41,0,0,1,1,0,1,0,1,0,1,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,30.68,40.91,38.39,27.42,0.12,0.0,0,39.11,42.04895833333333,35.30214285714286,4.424658178888023,7.503560523535999,49.67,30.68,0.86906905691682,0,0
2023-01-09 01:00:00-05:00,26.21,25.39,1.08,-0.26,1,0,1,1,0,1,0,1,0,1,0.25881904510252074,0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387,30.59,37.85,36.53,27.05,0.27,0.0,0,38.8075,41.92520833333333,35.32660714285714,4.750704524411251,7.481291943117329,49.67,30.59,0.865919556788944,0,0
2023-01-09 02:00:00-05:00,24.48,24.14,1.1,-0.76,2,0,1,1,0,1,0,1,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,30.2,36.15,35.59,25.21,0.38,0.0,0,38.55958333333333,41.812916666666666,35.349464285714284,5.041752179176655,7.4595672811945954,49.67,30.2,0.8543269497921266,0,0
2023-01-09 03:00:00-05:00,25.35,25.21,0.93,-0.79,3,0,1,1,0,1,0,1,0,1,0.7071067811865476,0.7071067811865476,0.0,1.0,0.49999999999999994,0.8660254037844387,30.21,35.75,35.7,26.54,0.33,0.0,0,38.32875,41.698541666666664,35.37303571428571,5.296373092483503,7.43686381641257,49.67,30.2,0.8540403555977364,0,0
2023-01-09 04:00:00-05:00,25.75,25.78,0.8,-0.83,4,0,1,1,0,1,0,1,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,28.87,35.02,36.99,26.63,0.0,0.0,0,38.0725,41.529374999999995,35.39255952380953,5.603299687800484,7.415301060428698,49.67,28.87,0.815708171108065,0,0
2023-01-09 05:00:00-05:00,29.92,29.12,0.26,0.54,5,0,1,1,0,1,0,1,0,1,0.9659258262890683,0.25881904510252074,0.0,1.0,0.49999999999999994,0.8660254037844387,29.3,35.8,43.85,26.38,0.0,0.0,0,37.80166666666667,41.22625,35.412321428571424,5.868717115325187,7.3944608637092175,49.67,28.87,0.8273956300520906,0,0
2023-01-09 06:00:00-05:00,36.19,34.910000000000004,1.37,-0.09,6,0,1,1,0,1,0,1,0,0,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,29.4,38.36,47.29,28.69,0.0,0.0,0,37.428333333333335,40.853541666666665,35.42059523809524,6.111619486979194,7.386902448745521,49.67,28.87,0.8300255769948207,0,0
2023-01-09 07:00:00-05:00,42.98,43.33,0.48,-0.83,7,0,1,1,0,1,0,1,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,31.35,41.0,58.27,33.33,0.0,0.0,0,37.02625,40.29270833333333,35.42517857142857,6.18343777500768,7.384119387550417,49.67,28.87,0.8849637818137827,0,0
2023-01-09 08:00:00-05:00,38.11,38.98,0.61,-1.48,8,0,1,1,0,1,0,1,0,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.49999999999999994,0.8660254037844387,33.39,42.83,58.61,35.34,0.0,0.0,0,36.63291666666667,39.767291666666665,35.44107142857143,6.097855987552358,7.376801477793176,49.67,28.87,0.9421272736433717,0,0
